,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2637516,Andhra Pradesh,2021-03-31,-15.0,29.0,-15.0,-7.0,-4.0,5.0
2637517,Andhra Pradesh,2021-04-01,-13.0,34.0,-16.0,-4.0,-4.0,6.0
2637518,Andhra Pradesh,2021-04-02,-11.0,36.0,-15.0,-9.0,-27.0,12.0
2637519,Andhra Pradesh,2021-04-03,-12.0,33.0,-11.0,-2.0,0.0,5.0
2637520,Andhra Pradesh,2021-04-04,-15.0,25.0,-9.0,-4.0,0.0,5.0
2637521,Andhra Pradesh,2021-04-05,-13.0,33.0,-13.0,-7.0,-18.0,9.0
2637522,Andhra Pradesh,2021-04-06,-13.0,34.0,-10.0,-2.0,-4.0,5.0
2637523,Andhra Pradesh,2021-04-07,-14.0,34.0,-11.0,-3.0,-8.0,5.0
2637524,Andhra Pradesh,2021-04-08,-15.0,32.0,-17.0,-8.0,-17.0,7.0
2637525,Andhra Pradesh,2021-04-09,1.0,37.0,-16.0,-1.0,-4.0,7.0
2637526,Andhra Pradesh,2021-04-10,-8.0,34.0,-13.0,-2.0,-9.0,7.0
2637527,Andhra Pradesh,2021-04-11,-12.0,27.0,-12.0,-6.0,4.0,7.0
2637528,Andhra Pradesh,2021-04-12,-4.0,49.0,-9.0,1.0,-9.0,6.0
2637529,Andhra Pradesh,2021-04-13,-17.0,19.0,-11.0,-15.0,-46.0,13.0
2637530,Andhra Pradesh,2021-04-14,-19.0,27.0,-16.0,-11.0,-32.0,10.0
2637531,Andhra Pradesh,2021-04-15,-15.0,35.0,-18.0,-5.0,-7.0,7.0
2637532,Andhra Pradesh,2021-04-16,-18.0,32.0,-20.0,-9.0,-6.0,10.0
2637533,Andhra Pradesh,2021-04-17,-21.0,28.0,-19.0,-11.0,-4.0,10.0
2637534,Andhra Pradesh,2021-04-18,-27.0,19.0,-21.0,-14.0,-4.0,10.0
2637535,Andhra Pradesh,2021-04-19,-22.0,28.0,-21.0,-12.0,-8.0,10.0
2637536,Andhra Pradesh,2021-04-20,-22.0,32.0,-21.0,-12.0,-13.0,10.0
2637537,Andhra Pradesh,2021-04-21,-31.0,20.0,-28.0,-24.0,-35.0,17.0
2637538,Andhra Pradesh,2021-04-22,-27.0,26.0,-28.0,-17.0,-16.0,12.0
2637539,Andhra Pradesh,2021-04-23,-30.0,22.0,-30.0,-20.0,-16.0,15.0
2637540,Andhra Pradesh,2021-04-24,-34.0,19.0,-30.0,-22.0,-16.0,15.0
2637541,Andhra Pradesh,2021-04-25,-40.0,9.0,-32.0,-27.0,-13.0,14.0
2637542,Andhra Pradesh,2021-04-26,-34.0,21.0,-30.0,-24.0,-20.0,15.0
2637543,Andhra Pradesh,2021-04-27,-38.0,15.0,-32.0,-26.0,-25.0,16.0
2637544,Andhra Pradesh,2021-04-28,-39.0,17.0,-33.0,-28.0,-26.0,16.0
2637545,Andhra Pradesh,2021-04-29,-38.0,16.0,-36.0,-28.0,-27.0,18.0
2637546,Andhra Pradesh,2021-04-30,-38.0,18.0,-35.0,-27.0,-25.0,18.0
2637547,Andhra Pradesh,2021-05-01,-42.0,14.0,-34.0,-29.0,-34.0,19.0
2637548,Andhra Pradesh,2021-05-02,-45.0,6.0,-36.0,-31.0,-19.0,16.0
2637549,Andhra Pradesh,2021-05-03,-40.0,14.0,-34.0,-30.0,-31.0,18.0
2637550,Andhra Pradesh,2021-05-04,-40.0,20.0,-34.0,-30.0,-34.0,17.0
2637551,Andhra Pradesh,2021-05-05,-59.0,-10.0,-46.0,-43.0,-41.0,22.0
2637552,Andhra Pradesh,2021-05-06,-56.0,-4.0,-44.0,-41.0,-41.0,23.0
2637553,Andhra Pradesh,2021-05-07,-57.0,-3.0,-45.0,-42.0,-40.0,24.0
2637554,Andhra Pradesh,2021-05-08,-58.0,-8.0,-46.0,-44.0,-43.0,25.0
2637555,Andhra Pradesh,2021-05-09,-58.0,-9.0,-44.0,-42.0,-27.0,20.0
2637556,Andhra Pradesh,2021-05-10,-57.0,-9.0,-44.0,-43.0,-40.0,24.0
2637557,Andhra Pradesh,2021-05-11,-57.0,-7.0,-44.0,-43.0,-42.0,23.0
2637558,Andhra Pradesh,2021-05-12,-55.0,-2.0,-42.0,-41.0,-43.0,22.0
2637559,Andhra Pradesh,2021-05-13,-54.0,0.0,-43.0,-41.0,-44.0,23.0
2637560,Andhra Pradesh,2021-05-14,-56.0,-3.0,-44.0,-44.0,-54.0,26.0
2637561,Andhra Pradesh,2021-05-15,-58.0,-9.0,-44.0,-44.0,-40.0,24.0
2637562,Andhra Pradesh,2021-05-16,-59.0,-12.0,-43.0,-44.0,-28.0,20.0
2637563,Andhra Pradesh,2021-05-17,-55.0,-8.0,-41.0,-42.0,-39.0,23.0
2637564,Andhra Pradesh,2021-05-18,-55.0,-5.0,-40.0,-42.0,-40.0,22.0
2637565,Andhra Pradesh,2021-05-19,-55.0,-3.0,-40.0,-42.0,-40.0,22.0
2637566,Andhra Pradesh,2021-05-20,-54.0,-4.0,-42.0,-45.0,-39.0,24.0
2637567,Andhra Pradesh,2021-05-21,-55.0,-5.0,-43.0,-43.0,-39.0,24.0
2637568,Andhra Pradesh,2021-05-22,-56.0,-7.0,-42.0,-42.0,-38.0,23.0
2637569,Andhra Pradesh,2021-05-23,-57.0,-10.0,-41.0,-41.0,-24.0,18.0
2637570,Andhra Pradesh,2021-05-24,-53.0,-7.0,-39.0,-41.0,-37.0,22.0
2637571,Andhra Pradesh,2021-05-25,-53.0,-4.0,-38.0,-40.0,-38.0,21.0
2637572,Andhra Pradesh,2021-05-26,-53.0,-3.0,-37.0,-41.0,-38.0,21.0
2637573,Andhra Pradesh,2021-05-27,-51.0,-1.0,-37.0,-40.0,-37.0,21.0
2637574,Andhra Pradesh,2021-05-28,-51.0,1.0,-35.0,-39.0,-34.0,22.0
2637575,Andhra Pradesh,2021-05-29,-53.0,-2.0,-35.0,-38.0,-31.0,21.0
2637576,Andhra Pradesh,2021-05-30,-53.0,-5.0,-33.0,-38.0,-19.0,17.0
2637577,Andhra Pradesh,2021-05-31,-48.0,0.0,-30.0,-36.0,-32.0,20.0
2637578,Andhra Pradesh,2021-06-01,-47.0,5.0,-28.0,-34.0,-33.0,18.0
2637579,Andhra Pradesh,2021-06-02,-46.0,8.0,-28.0,-34.0,-32.0,18.0
2637580,Andhra Pradesh,2021-06-03,-46.0,7.0,-30.0,-34.0,-32.0,20.0
2637581,Andhra Pradesh,2021-06-04,-45.0,9.0,-28.0,-33.0,-30.0,20.0
2637582,Andhra Pradesh,2021-06-05,-48.0,4.0,-30.0,-32.0,-27.0,19.0
2637583,Andhra Pradesh,2021-06-06,-49.0,2.0,-29.0,-33.0,-15.0,15.0
2637584,Andhra Pradesh,2021-06-07,-46.0,2.0,-28.0,-33.0,-28.0,18.0
2637585,Andhra Pradesh,2021-06-08,-45.0,5.0,-26.0,-32.0,-29.0,17.0
2637586,Andhra Pradesh,2021-06-09,-45.0,8.0,-27.0,-33.0,-28.0,17.0
2637587,Andhra Pradesh,2021-06-10,-45.0,5.0,-29.0,-34.0,-28.0,19.0
2637588,Andhra Pradesh,2021-06-11,-40.0,15.0,-27.0,-31.0,-25.0,19.0
2637589,Andhra Pradesh,2021-06-12,-41.0,13.0,-26.0,-28.0,-31.0,17.0
2637590,Andhra Pradesh,2021-06-13,-43.0,7.0,-24.0,-28.0,-11.0,13.0
2637591,Andhra Pradesh,2021-06-14,-39.0,9.0,-24.0,-28.0,-25.0,15.0
2637592,Andhra Pradesh,2021-06-15,-38.0,11.0,-23.0,-28.0,-25.0,15.0
2637593,Andhra Pradesh,2021-06-16,-38.0,13.0,-23.0,-28.0,-26.0,14.0
2637594,Andhra Pradesh,2021-06-17,-37.0,13.0,-23.0,-28.0,-26.0,15.0
2637595,Andhra Pradesh,2021-06-18,-39.0,13.0,-24.0,-28.0,-24.0,16.0
2637596,Andhra Pradesh,2021-06-19,-40.0,10.0,-24.0,-27.0,-21.0,14.0
2637597,Andhra Pradesh,2021-06-20,-41.0,8.0,-20.0,-25.0,-9.0,9.0
2637598,Andhra Pradesh,2021-06-21,-34.0,11.0,-21.0,-25.0,-25.0,12.0
2637599,Andhra Pradesh,2021-06-22,-33.0,15.0,-19.0,-24.0,-24.0,12.0
2637600,Andhra Pradesh,2021-06-23,-32.0,17.0,-19.0,-23.0,-24.0,12.0
2637601,Andhra Pradesh,2021-06-24,-30.0,22.0,-20.0,-22.0,-23.0,12.0
2637602,Andhra Pradesh,2021-06-25,-30.0,23.0,-20.0,-21.0,-21.0,13.0
2637603,Andhra Pradesh,2021-06-26,-31.0,20.0,-18.0,-18.0,-21.0,12.0
2637604,Andhra Pradesh,2021-06-27,-35.0,14.0,-16.0,-18.0,-8.0,9.0
2637605,Andhra Pradesh,2021-06-28,-30.0,17.0,-17.0,-19.0,-21.0,11.0
2637606,Andhra Pradesh,2021-06-29,-31.0,17.0,-17.0,-21.0,-22.0,10.0
2637607,Andhra Pradesh,2021-06-30,-31.0,19.0,-18.0,-20.0,-22.0,10.0
2637608,Andhra Pradesh,2021-07-01,-20.0,36.0,-13.0,-12.0,-21.0,9.0
2637609,Andhra Pradesh,2021-07-02,-24.0,30.0,-18.0,-17.0,-19.0,13.0
2637610,Andhra Pradesh,2021-07-03,-22.0,33.0,-14.0,-11.0,-15.0,10.0
2637611,Andhra Pradesh,2021-07-04,-26.0,25.0,-11.0,-10.0,-6.0,7.0
2637612,Andhra Pradesh,2021-07-05,-20.0,30.0,-11.0,-11.0,-18.0,9.0
2637613,Andhra Pradesh,2021-07-06,-21.0,31.0,-10.0,-13.0,-18.0,9.0
2637614,Andhra Pradesh,2021-07-07,-22.0,32.0,-12.0,-13.0,-19.0,9.0
2637615,Andhra Pradesh,2021-07-08,-17.0,39.0,-13.0,-12.0,-17.0,10.0
2637616,Andhra Pradesh,2021-07-09,-21.0,34.0,-15.0,-15.0,-16.0,12.0
2637617,Andhra Pradesh,2021-07-10,-20.0,36.0,-12.0,-11.0,-22.0,11.0
2637618,Andhra Pradesh,2021-07-11,-25.0,23.0,-12.0,-12.0,-5.0,8.0
2637619,Andhra Pradesh,2021-07-12,-19.0,32.0,-11.0,-10.0,-18.0,9.0
2637620,Andhra Pradesh,2021-07-13,-22.0,28.0,-13.0,-14.0,-19.0,10.0
2637621,Andhra Pradesh,2021-07-14,-20.0,34.0,-13.0,-13.0,-17.0,9.0
2637622,Andhra Pradesh,2021-07-15,-17.0,38.0,-13.0,-12.0,-17.0,10.0
2644344,Arunachal Pradesh,2020-02-15,1.0,-9.0,3.0,-4.0,9.0,1.0
2644345,Arunachal Pradesh,2020-02-16,3.0,-5.0,4.0,-9.0,8.0,1.0
2644346,Arunachal Pradesh,2020-02-17,-5.0,-13.0,6.0,-11.0,11.0,2.0
2644347,Arunachal Pradesh,2020-02-18,-6.0,-10.0,4.0,-5.0,8.0,3.0
2644348,Arunachal Pradesh,2020-02-19,-1.0,-8.0,5.0,1.0,11.0,0.0
2644349,Arunachal Pradesh,2020-02-20,-6.0,-12.0,26.0,-3.0,-17.0,3.0
2644350,Arunachal Pradesh,2020-02-21,2.0,-9.0,7.0,-8.0,6.0,0.0
2644351,Arunachal Pradesh,2020-02-22,-3.0,-11.0,5.0,-6.0,9.0,1.0
2644352,Arunachal Pradesh,2020-02-23,-2.0,-9.0,1.0,-6.0,8.0,1.0
2644353,Arunachal Pradesh,2020-02-24,-7.0,-16.0,1.0,-14.0,9.0,1.0
2644354,Arunachal Pradesh,2020-02-25,-8.0,-5.0,3.0,-2.0,8.0,0.0
2644355,Arunachal Pradesh,2020-02-26,-10.0,-15.0,2.0,-8.0,-6.0,1.0
2644356,Arunachal Pradesh,2020-02-27,-6.0,-14.0,-4.0,-4.0,7.0,-1.0
2644357,Arunachal Pradesh,2020-02-28,-31.0,-19.0,-5.0,-19.0,-12.0,6.0
2644358,Arunachal Pradesh,2020-02-29,0.0,-6.0,2.0,-4.0,13.0,0.0
2644359,Arunachal Pradesh,2020-03-01,-2.0,-7.0,2.0,-5.0,10.0,1.0
2644360,Arunachal Pradesh,2020-03-02,-7.0,-13.0,7.0,-11.0,14.0,1.0
2644361,Arunachal Pradesh,2020-03-03,-7.0,-7.0,7.0,-1.0,11.0,-1.0
2644362,Arunachal Pradesh,2020-03-04,-5.0,-10.0,1.0,-2.0,12.0,-1.0
2644363,Arunachal Pradesh,2020-03-05,-7.0,-7.0,-1.0,4.0,9.0,0.0
2644364,Arunachal Pradesh,2020-03-06,1.0,-6.0,6.0,-1.0,13.0,-1.0
2644365,Arunachal Pradesh,2020-03-07,0.0,-4.0,4.0,-3.0,12.0,0.0
2644366,Arunachal Pradesh,2020-03-08,-3.0,-10.0,2.0,-9.0,10.0,1.0
2644367,Arunachal Pradesh,2020-03-09,-4.0,-6.0,6.0,-9.0,10.0,0.0
2644368,Arunachal Pradesh,2020-03-10,-30.0,-32.0,9.0,-20.0,-23.0,5.0
2644369,Arunachal Pradesh,2020-03-11,-5.0,-9.0,2.0,-7.0,11.0,0.0
2644370,Arunachal Pradesh,2020-03-12,-8.0,-8.0,4.0,-3.0,8.0,1.0
2644371,Arunachal Pradesh,2020-03-13,-5.0,-12.0,7.0,-5.0,13.0,0.0
2644372,Arunachal Pradesh,2020-03-14,-7.0,-10.0,10.0,-9.0,7.0,0.0
2644373,Arunachal Pradesh,2020-03-15,-3.0,-9.0,10.0,-10.0,11.0,0.0
2644374,Arunachal Pradesh,2020-03-16,-11.0,-15.0,10.0,-8.0,10.0,0.0
2644375,Arunachal Pradesh,2020-03-17,-9.0,-3.0,13.0,8.0,6.0,-1.0
2644376,Arunachal Pradesh,2020-03-18,-9.0,-3.0,14.0,3.0,5.0,-2.0
2644377,Arunachal Pradesh,2020-03-19,-8.0,-1.0,14.0,5.0,1.0,-2.0
2644378,Arunachal Pradesh,2020-03-20,-7.0,-4.0,16.0,-3.0,4.0,-1.0
2644379,Arunachal Pradesh,2020-03-21,-11.0,-9.0,14.0,-9.0,6.0,0.0
2644380,Arunachal Pradesh,2020-03-22,-57.0,-64.0,-11.0,-41.0,-14.0,16.0
2644381,Arunachal Pradesh,2020-03-23,-15.0,0.0,15.0,-19.0,-2.0,1.0
2644382,Arunachal Pradesh,2020-03-24,-53.0,-50.0,4.0,-36.0,-23.0,9.0
2644383,Arunachal Pradesh,2020-03-25,-60.0,-57.0,-6.0,-42.0,-30.0,13.0
2644384,Arunachal Pradesh,2020-03-26,-61.0,-59.0,-12.0,-46.0,-33.0,16.0
2644385,Arunachal Pradesh,2020-03-27,-61.0,-60.0,-10.0,-48.0,-30.0,17.0
2644386,Arunachal Pradesh,2020-03-28,-62.0,-62.0,-12.0,-50.0,-21.0,17.0
2644387,Arunachal Pradesh,2020-03-29,-56.0,-62.0,-15.0,-43.0,-7.0,14.0
2644388,Arunachal Pradesh,2020-03-30,-62.0,-61.0,-10.0,-45.0,-28.0,17.0
2644389,Arunachal Pradesh,2020-03-31,-62.0,-62.0,-9.0,-43.0,-30.0,17.0
2644390,Arunachal Pradesh,2020-04-01,-62.0,-54.0,-12.0,-44.0,-30.0,16.0
2644391,Arunachal Pradesh,2020-04-02,-62.0,-58.0,-15.0,-46.0,-33.0,18.0
2644392,Arunachal Pradesh,2020-04-03,-61.0,-61.0,-11.0,-50.0,-28.0,17.0
2644393,Arunachal Pradesh,2020-04-04,-62.0,-65.0,-13.0,-49.0,-18.0,18.0
2644394,Arunachal Pradesh,2020-04-05,-58.0,-64.0,-16.0,-46.0,-5.0,16.0
2644395,Arunachal Pradesh,2020-04-06,-65.0,-65.0,-10.0,-52.0,-29.0,18.0
2644396,Arunachal Pradesh,2020-04-07,-71.0,-55.0,3.0,-57.0,-32.0,18.0
2644397,Arunachal Pradesh,2020-04-08,-71.0,-52.0,1.0,-61.0,-30.0,18.0
2644398,Arunachal Pradesh,2020-04-09,-71.0,-53.0,-3.0,-60.0,-32.0,18.0
2644399,Arunachal Pradesh,2020-04-10,-71.0,-52.0,9.0,-63.0,-31.0,17.0
2644400,Arunachal Pradesh,2020-04-11,-70.0,-51.0,2.0,-61.0,-18.0,19.0
2644401,Arunachal Pradesh,2020-04-12,-68.0,-52.0,-5.0,-58.0,-8.0,18.0
2644402,Arunachal Pradesh,2020-04-13,-70.0,-49.0,5.0,-58.0,-26.0,18.0
2644403,Arunachal Pradesh,2020-04-14,-70.0,-48.0,8.0,-58.0,-32.0,18.0
2644404,Arunachal Pradesh,2020-04-15,-68.0,-44.0,,-55.0,-23.0,14.0
2644405,Arunachal Pradesh,2020-04-16,-73.0,-41.0,,-56.0,-27.0,14.0
2644406,Arunachal Pradesh,2020-04-17,-72.0,-40.0,,-57.0,-23.0,16.0
2644407,Arunachal Pradesh,2020-04-18,-74.0,-45.0,-18.0,-62.0,-17.0,17.0
2644408,Arunachal Pradesh,2020-04-19,-73.0,-48.0,-24.0,-62.0,-10.0,16.0
2644409,Arunachal Pradesh,2020-04-20,-76.0,-43.0,-15.0,-60.0,-24.0,18.0
2644410,Arunachal Pradesh,2020-04-21,-75.0,-40.0,-15.0,-57.0,-26.0,16.0
2644411,Arunachal Pradesh,2020-04-22,-75.0,-42.0,-19.0,-61.0,-25.0,15.0
2644412,Arunachal Pradesh,2020-04-23,-74.0,-43.0,-19.0,-60.0,-27.0,17.0
2644413,Arunachal Pradesh,2020-04-24,-74.0,-43.0,-17.0,-63.0,-23.0,18.0
2644414,Arunachal Pradesh,2020-04-25,-73.0,-40.0,-18.0,-61.0,-15.0,16.0
2644415,Arunachal Pradesh,2020-04-26,-71.0,-43.0,-20.0,-60.0,-3.0,15.0
2644416,Arunachal Pradesh,2020-04-27,-73.0,-35.0,-14.0,-60.0,-22.0,16.0
2644417,Arunachal Pradesh,2020-04-28,-71.0,-32.0,-13.0,-55.0,-22.0,12.0
2644418,Arunachal Pradesh,2020-04-29,-71.0,-33.0,-13.0,-57.0,-21.0,13.0
2644419,Arunachal Pradesh,2020-04-30,-70.0,-31.0,-13.0,-55.0,-22.0,13.0
2644420,Arunachal Pradesh,2020-05-01,-70.0,-33.0,-14.0,-61.0,-20.0,14.0
2644421,Arunachal Pradesh,2020-05-02,-69.0,-32.0,-13.0,-57.0,-11.0,13.0
2644422,Arunachal Pradesh,2020-05-03,-67.0,-30.0,-18.0,-57.0,-5.0,13.0
2644423,Arunachal Pradesh,2020-05-04,-66.0,-18.0,-10.0,-52.0,-15.0,11.0
2644424,Arunachal Pradesh,2020-05-05,-65.0,-9.0,-9.0,-47.0,-16.0,9.0
2644425,Arunachal Pradesh,2020-05-06,-62.0,-6.0,-9.0,-46.0,-13.0,8.0
2644426,Arunachal Pradesh,2020-05-07,-63.0,-4.0,-11.0,-43.0,-26.0,10.0
2644427,Arunachal Pradesh,2020-05-08,-60.0,-9.0,-10.0,-46.0,-10.0,8.0
2644428,Arunachal Pradesh,2020-05-09,-62.0,-6.0,-10.0,-44.0,-7.0,8.0
2644429,Arunachal Pradesh,2020-05-10,-61.0,-21.0,-13.0,-48.0,-2.0,9.0
2644430,Arunachal Pradesh,2020-05-11,-60.0,-7.0,-6.0,-43.0,-10.0,8.0
2644431,Arunachal Pradesh,2020-05-12,-61.0,2.0,-8.0,-45.0,-13.0,8.0
2644432,Arunachal Pradesh,2020-05-13,-60.0,-10.0,-11.0,-41.0,-12.0,7.0
2644433,Arunachal Pradesh,2020-05-14,-60.0,1.0,-11.0,-41.0,-12.0,5.0
2644434,Arunachal Pradesh,2020-05-15,-58.0,-4.0,-8.0,-41.0,-7.0,6.0
2644435,Arunachal Pradesh,2020-05-16,-62.0,-8.0,-11.0,-44.0,-4.0,10.0
2644436,Arunachal Pradesh,2020-05-17,-61.0,-17.0,-15.0,-47.0,0.0,8.0
2644437,Arunachal Pradesh,2020-05-18,-59.0,-6.0,-10.0,-40.0,-6.0,8.0
2644438,Arunachal Pradesh,2020-05-19,-61.0,-1.0,-10.0,-38.0,-10.0,8.0
2644439,Arunachal Pradesh,2020-05-20,-58.0,-3.0,-11.0,-29.0,-9.0,7.0
2644440,Arunachal Pradesh,2020-05-21,-65.0,-13.0,-22.0,-41.0,-15.0,10.0
2644441,Arunachal Pradesh,2020-05-22,-61.0,-11.0,-17.0,-38.0,-9.0,9.0
2644442,Arunachal Pradesh,2020-05-23,-67.0,-20.0,-22.0,-43.0,-10.0,11.0
2644443,Arunachal Pradesh,2020-05-24,-66.0,-28.0,-26.0,-44.0,-2.0,10.0
2644444,Arunachal Pradesh,2020-05-25,-65.0,-18.0,-15.0,-41.0,-24.0,12.0
2644445,Arunachal Pradesh,2020-05-26,-65.0,-12.0,-18.0,-39.0,-11.0,10.0
2644446,Arunachal Pradesh,2020-05-27,-61.0,-5.0,-15.0,-30.0,-9.0,7.0
2644447,Arunachal Pradesh,2020-05-28,-62.0,-5.0,-16.0,-33.0,-12.0,7.0
2644448,Arunachal Pradesh,2020-05-29,-59.0,-8.0,-10.0,-36.0,-5.0,7.0
2644449,Arunachal Pradesh,2020-05-30,-62.0,-1.0,-13.0,-39.0,-2.0,8.0
2644450,Arunachal Pradesh,2020-05-31,-62.0,-18.0,-17.0,-40.0,1.0,8.0
2644451,Arunachal Pradesh,2020-06-01,-61.0,-10.0,-10.0,-36.0,-5.0,8.0
2644452,Arunachal Pradesh,2020-06-02,-60.0,-2.0,-12.0,-34.0,-8.0,8.0
2644453,Arunachal Pradesh,2020-06-03,-59.0,-6.0,-14.0,-30.0,-6.0,8.0
2644454,Arunachal Pradesh,2020-06-04,-60.0,-5.0,-16.0,-36.0,-9.0,9.0
2644455,Arunachal Pradesh,2020-06-05,-59.0,-7.0,-12.0,-37.0,-3.0,9.0
2644456,Arunachal Pradesh,2020-06-06,-57.0,-6.0,-14.0,-43.0,0.0,10.0
2644457,Arunachal Pradesh,2020-06-07,-57.0,-10.0,-14.0,-40.0,6.0,8.0
2644458,Arunachal Pradesh,2020-06-08,-57.0,-5.0,-10.0,-40.0,-4.0,8.0
2644459,Arunachal Pradesh,2020-06-09,-57.0,-11.0,-11.0,-33.0,-6.0,7.0
2644460,Arunachal Pradesh,2020-06-10,-57.0,-3.0,-9.0,-33.0,-5.0,6.0
2644461,Arunachal Pradesh,2020-06-11,-57.0,-7.0,-14.0,-34.0,-9.0,6.0
2644462,Arunachal Pradesh,2020-06-12,-57.0,-7.0,-10.0,-37.0,-5.0,7.0
2644463,Arunachal Pradesh,2020-06-13,-58.0,-13.0,-14.0,-42.0,-4.0,9.0
2644464,Arunachal Pradesh,2020-06-14,-58.0,-23.0,-15.0,-44.0,3.0,9.0
2644465,Arunachal Pradesh,2020-06-15,-57.0,-9.0,-10.0,-40.0,-6.0,8.0
2644466,Arunachal Pradesh,2020-06-16,-56.0,-9.0,-10.0,-36.0,-8.0,8.0
2644467,Arunachal Pradesh,2020-06-17,-57.0,-17.0,-12.0,-38.0,-9.0,9.0
2644468,Arunachal Pradesh,2020-06-18,-57.0,-19.0,-15.0,-37.0,-13.0,8.0
2644469,Arunachal Pradesh,2020-06-19,-56.0,-10.0,-11.0,-41.0,-5.0,8.0
2644470,Arunachal Pradesh,2020-06-20,-53.0,-2.0,-11.0,-39.0,-3.0,8.0
2644471,Arunachal Pradesh,2020-06-21,-57.0,-19.0,-17.0,-45.0,0.0,10.0
2644472,Arunachal Pradesh,2020-06-22,-58.0,-9.0,-8.0,-35.0,-6.0,8.0
2644473,Arunachal Pradesh,2020-06-23,-57.0,-5.0,-8.0,-34.0,-9.0,8.0
2644474,Arunachal Pradesh,2020-06-24,-59.0,-11.0,-11.0,-35.0,-10.0,8.0
2644475,Arunachal Pradesh,2020-06-25,-59.0,-7.0,-15.0,-38.0,-13.0,9.0
2644476,Arunachal Pradesh,2020-06-26,-60.0,-13.0,-12.0,-43.0,-8.0,10.0
2644477,Arunachal Pradesh,2020-06-27,-56.0,-1.0,-12.0,-39.0,-4.0,10.0
2644478,Arunachal Pradesh,2020-06-28,-58.0,-13.0,-18.0,-41.0,-1.0,10.0
2644479,Arunachal Pradesh,2020-06-29,-53.0,-5.0,-9.0,-35.0,-7.0,8.0
2644480,Arunachal Pradesh,2020-06-30,-50.0,2.0,-8.0,-31.0,-8.0,6.0
2644481,Arunachal Pradesh,2020-07-01,-52.0,-5.0,-9.0,-30.0,-7.0,6.0
2644482,Arunachal Pradesh,2020-07-02,-50.0,0.0,-13.0,-32.0,-10.0,6.0
2644483,Arunachal Pradesh,2020-07-03,-46.0,4.0,-6.0,-32.0,-5.0,6.0
2644484,Arunachal Pradesh,2020-07-04,-41.0,13.0,-11.0,-33.0,-1.0,6.0
2644485,Arunachal Pradesh,2020-07-05,-41.0,5.0,-13.0,-34.0,5.0,6.0
2644486,Arunachal Pradesh,2020-07-06,-56.0,-6.0,-10.0,-38.0,-10.0,8.0
2644487,Arunachal Pradesh,2020-07-07,-67.0,-11.0,-15.0,-46.0,-24.0,12.0
2644488,Arunachal Pradesh,2020-07-08,-68.0,-26.0,-17.0,-48.0,-24.0,11.0
2644489,Arunachal Pradesh,2020-07-09,-71.0,-27.0,-20.0,-50.0,-27.0,13.0
2644490,Arunachal Pradesh,2020-07-10,-69.0,-27.0,-18.0,-52.0,-22.0,12.0
2644491,Arunachal Pradesh,2020-07-11,-72.0,-23.0,-23.0,-56.0,-21.0,14.0
2644492,Arunachal Pradesh,2020-07-12,-65.0,-27.0,-25.0,-54.0,-7.0,11.0
2644493,Arunachal Pradesh,2020-07-13,-67.0,-20.0,-15.0,-50.0,-21.0,12.0
2644494,Arunachal Pradesh,2020-07-14,-67.0,-11.0,-13.0,-45.0,-22.0,12.0
2644495,Arunachal Pradesh,2020-07-15,-69.0,-19.0,-17.0,-37.0,-24.0,13.0
2644496,Arunachal Pradesh,2020-07-16,-71.0,-23.0,-18.0,-40.0,-27.0,15.0
2644497,Arunachal Pradesh,2020-07-17,-68.0,-25.0,-16.0,-44.0,-21.0,15.0
2644498,Arunachal Pradesh,2020-07-18,-72.0,-26.0,-21.0,-45.0,-17.0,16.0
2644499,Arunachal Pradesh,2020-07-19,-69.0,-33.0,-25.0,-44.0,-10.0,14.0
2644500,Arunachal Pradesh,2020-07-20,-68.0,-27.0,-18.0,-43.0,-23.0,17.0
2644501,Arunachal Pradesh,2020-07-21,-66.0,-20.0,-17.0,-37.0,-25.0,16.0
2644502,Arunachal Pradesh,2020-07-22,-72.0,-30.0,-19.0,-45.0,-27.0,15.0
2644503,Arunachal Pradesh,2020-07-23,-70.0,-19.0,-21.0,-42.0,-27.0,15.0
2644504,Arunachal Pradesh,2020-07-24,-70.0,-28.0,-17.0,-44.0,-24.0,15.0
2644505,Arunachal Pradesh,2020-07-25,-70.0,-30.0,-19.0,-44.0,-17.0,16.0
2644506,Arunachal Pradesh,2020-07-26,-68.0,-31.0,-26.0,-46.0,-8.0,16.0
2644507,Arunachal Pradesh,2020-07-27,-70.0,-29.0,-18.0,-41.0,-22.0,17.0
2644508,Arunachal Pradesh,2020-07-28,-65.0,-15.0,-19.0,-32.0,-24.0,14.0
2644509,Arunachal Pradesh,2020-07-29,-72.0,-35.0,-25.0,-41.0,-29.0,15.0
2644510,Arunachal Pradesh,2020-07-30,-68.0,-27.0,-24.0,-36.0,-27.0,13.0
2644511,Arunachal Pradesh,2020-07-31,-66.0,-25.0,-17.0,-40.0,-22.0,11.0
2644512,Arunachal Pradesh,2020-08-01,-71.0,-29.0,-17.0,-43.0,-16.0,14.0
2644513,Arunachal Pradesh,2020-08-02,-67.0,-35.0,-23.0,-40.0,-7.0,13.0
2644514,Arunachal Pradesh,2020-08-03,-61.0,-18.0,-12.0,-32.0,-15.0,11.0
