District,State,Population,Growth,Sex-Ratio,Literacy
Sonbhadra,Uttar Pradesh,1862559,27.27%,918,64.03
Dharwad,Karnataka,1847023,15.13%,971,80
Darjiling,West Bengal,1846823,14.77%,970,79.56
Amroha,Uttar Pradesh,1840221,22.76%,910,63.84
Parbhani,Maharashtra,1836086,20.19%,947,73.34
Jalor,Rajasthan,1828730,26.21%,952,54.86
Jajapur,Orissa,1827192,12.49%,973,80.13
Akola,Maharashtra,1813906,11.27%,946,88.05
Faridabad,Haryana,1809733,32.54%,873,81.7
Mandya,Karnataka,1805769,2.38%,995,70.4
Kendujhar,Orissa,1801733,15.35%,988,68.24
Banda,Uttar Pradesh,1799410,17.05%,863,66.67
Banswara,Rajasthan,1797485,26.53%,980,56.33
Kanpur Dehat,Uttar Pradesh,1796184,14.89%,865,75.78
Hassan,Karnataka,1776421,3.18%,1010,76.07
Hanumangarh,Rajasthan,1774692,16.91%,906,67.13
Etah,Uttar Pradesh,1774480,13.62%,873,70.81
Chhatarpur,Madhya Pradesh,1762375,19.51%,883,63.74
Jamui,Bihar,1760405,25.85%,922,59.79
Surendranagar,Gujarat,1756268,15.91%,930,72.13
Shimoga,Karnataka,1752753,6.71%,998,80.45
Thoothukkudi,Tamil Nadu,1750176,11.32%,1023,86.16
Hisar,Haryana,1743931,13.45%,872,72.89
Cachar,Assam,1736617,20.19%,959,79.34
Hazaribagh,Jharkhand,1734495,20.65%,947,69.75
Namakkal,Tamil Nadu,1726601,15.61%,986,74.63
Shivpuri,Madhya Pradesh,1726050,22.76%,877,62.55
West Tripura,Tripura,1725739,12.57%,962,88.69
Sant Kabir Nagar,Uttar Pradesh,1715183,20.77%,972,66.72
East Delhi,Delhi,1709346,16.79%,884,89.31
Buxar,Bihar,1706352,21.67%,922,70.14
Valsad,Gujarat,1705678,20.92%,922,78.55
Bidar,Karnataka,1703300,13.37%,956,70.51
Bhind,Madhya Pradesh,1703005,19.21%,837,75.26
Balaghat,Madhya Pradesh,1701698,13.60%,1021,77.09
Puri,Orissa,1698730,13.05%,963,84.67
Dehradun,Uttarakhand,1696694,32.33%,902,84.25
Barpeta,Assam,1693622,21.43%,953,63.81
Kishanganj,Bihar,1690400,30.40%,950,55.46
Jalaun,Uttar Pradesh,1689974,16.19%,865,73.75
Dakshin Dinajpur,West Bengal,1676276,11.52%,956,72.82
Khagaria,Bihar,1666886,30.19%,886,57.92
Chitradurga,Karnataka,1659456,9.33%,974,73.71
Osmanabad,Maharashtra,1657576,11.50%,924,78.44
Kannauj,Uttar Pradesh,1656616,19.27%,879,72.7
Sangrur,Punjab,1655169,12.35%,885,67.99
Balangir,Orissa,1648997,23.32%,987,64.72
Udham Singh Nagar,Uttarakhand,1648902,33.45%,920,73.1
Nandurbar,Maharashtra,1648295,25.66%,978,64.38
Gautam Buddha Nagar,Uttar Pradesh,1648115,37.11%,851,80.12
Bhiwani,Haryana,1634445,14.70%,886,75.21
Dausa,Rajasthan,1634409,24.09%,905,68.16
Kaimur,Bihar,1626384,26.17%,920,69.34
Janjgir-Champa,Chhattisgarh,1619707,22.94%,986,73.07
Pudukkottai,Tamil Nadu,1618345,10.88%,1015,77.19
Nagapattinam,Tamil Nadu,1616450,8.57%,1025,83.59
Ratnagiri,Maharashtra,1615069,-4.82%,1122,82.18
Kaushambi,Uttar Pradesh,1599596,23.70%,908,61.28
Haveri,Karnataka,1597668,11.02%,950,77.4
Hoshiarpur,Punjab,1586625,7.11%,961,84.59
Etawah,Uttar Pradesh,1581810,18.15%,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,1578213,16.58%,955,68.97
Kalahandi,Orissa,1576869,18.07%,1003,59.22
Betul,Madhya Pradesh,1575362,12.92%,971,68.9
Hathras,Uttar Pradesh,1564708,17.12%,871,71.59
Dewas,Madhya Pradesh,1563715,19.53%,942,69.35
Bharuch,Gujarat,1551019,13.16%,925,81.51
Rajgarh,Madhya Pradesh,1545814,23.26%,956,61.21
Chittaurgarh,Rajasthan,1544338,16.08%,972,61.71
Rajnandgaon,Chhattisgarh,1537133,19.79%,1015,75.96
Kolar,Karnataka,1536401,10.77%,979,74.39
Jammu,Jammu and Kashmir,1529958,12.74%,880,83.45
Kamrup,Assam,1517542,15.69%,949,75.55
Gurgaon,Haryana,1514432,73.96%,854,84.7
Amreli,Gujarat,1514190,8.63%,964,74.25
Shajapur,Madhya Pradesh,1512681,17.20%,938,69.09
Kangra,Himachal Pradesh,1510075,12.77%,1012,85.67
Dharmapuri,Tamil Nadu,1506843,16.34%,946,68.54
Bhadrak,Orissa,1506337,12.94%,981,82.78
Karnal,Haryana,1505324,18.14%,887,74.73
Pashchimi Singhbhum,Jharkhand,1502338,21.75%,1005,58.63
