,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Naduv,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous
20210320,"18,132","16,11,084","69,919","6,45,191","19,17,945","64,172","13,40,490","11,417","10,907","9,84,265","89,508","35,14,661","9,07,478","3,66,502","5,99,915","8,73,188","24,81,149","22,97,176","43,249","6,197","22,28,256","42,65,512","1,02,179","78,554","62,247","67,934","17,84,847","48,565","5,36,408","42,74,213","61,265","20,86,121","8,95,346","3,16,751","41,26,506","5,17,251","36,30,910","16,68,431"
20210321,"18,132","16,11,084","69,919","6,47,269","19,17,945","64,324","13,41,500","11,417","10,907","9,84,655","89,508","37,21,583","9,08,001","3,67,998","5,99,915","10,25,942","25,02,109","23,03,253","43,283","6,197","22,28,256","42,78,482","1,02,358","78,554","62,247","67,934","17,84,847","48,565","5,46,252","42,88,901","61,265","20,86,121","8,95,346","3,21,731","41,32,135","5,19,927","36,49,705","16,68,431"
20210322,"18,990","17,41,878","73,426","6,78,659","20,13,059","66,213","14,07,109","11,417","11,575","10,30,717","92,961","39,50,792","11,57,363","3,77,766","6,36,258","10,65,437","27,30,456","24,32,273","44,270","6,293","26,62,634","45,54,836","1,05,281","82,565","62,833","72,971","18,81,914","52,198","5,78,459","45,41,540","63,671","22,38,755","9,24,491","3,74,423","45,33,871","5,49,601","39,41,280","17,26,359"
20210323,"19,752","18,50,350","75,474","8,10,619","21,37,083","67,704","14,45,038","11,650","12,060","10,69,727","95,834","41,86,828","12,00,479","4,00,742","6,61,497","12,26,703","28,46,344","25,58,544","44,882","6,396","26,66,064","47,43,837","1,08,093","86,594","63,607","76,680","19,60,727","55,132","6,09,246","47,52,984","66,768","23,43,912","10,10,596","4,16,118","46,53,705","5,76,935","41,25,209","17,97,373"
20210324,"20,002","19,72,034","75,593","8,37,127","22,45,036","69,333","14,88,934","11,848","12,490","10,94,429","99,012","43,81,814","12,13,650","4,13,195","6,61,497","13,43,628","30,29,544","26,18,851","45,161","6,463","29,32,338","50,14,774","1,10,782","89,214","63,939","78,847","20,22,037","60,041","6,36,820","49,94,574","68,762","24,38,253","10,50,167","4,83,997","47,56,799","5,95,970","42,50,140","18,58,614"
20210325,"20,672","21,13,981","78,893","9,26,350","23,81,773","71,036","15,48,906","12,186","12,661","11,34,632","1,01,947","46,38,762","12,61,799","4,52,090","6,97,295","13,84,075","31,23,952","27,72,545","45,347","6,490","30,74,924","52,28,897","1,13,040","93,407","64,550","80,469","20,95,217","62,839","6,66,395","50,57,509","70,523","25,37,202","10,88,309","5,53,795","50,22,608","6,24,095","43,72,367","19,12,902"
20210326,"20,991","22,19,053","81,533","9,86,804","25,19,873","72,714","16,15,013","12,521","13,276","11,56,546","1,05,072","49,08,715","13,02,677","4,73,658","7,26,236","14,47,288","32,85,829","29,04,945","45,559","6,576","30,78,673","54,94,759","1,16,224","95,924","65,731","81,417","21,67,956","65,578","6,95,676","53,07,621","72,309","26,45,814","11,28,632","6,43,117","52,40,969","6,49,500","46,88,172","19,66,822"
20210327,"21,361","23,41,955","83,450","10,04,038","26,34,237","74,230","17,29,837","12,756","13,532","11,96,875","1,07,720","51,58,430","13,18,185","4,93,737","7,51,622","15,56,332","34,00,617","30,19,646","45,692","6,800","31,88,497","57,26,036","1,18,168","96,415","65,731","81,676","22,36,623","67,980","7,29,130","54,84,184","72,309","27,51,628","11,70,407","6,51,930","53,03,442","6,65,684","48,65,445","20,23,445"
20210328,"21,361","23,50,279","83,450","10,04,248","26,34,237","74,323","17,63,175","12,756","13,532","11,96,875","1,07,720","52,50,880","13,19,400","4,93,737","7,51,622","15,63,421","34,16,179","30,31,610","45,692","6,800","31,88,497","57,46,602","1,18,222","96,426","65,731","81,676","22,36,623","67,980","7,42,627","54,84,184","72,309","27,51,628","11,75,476","6,58,047","53,03,530","6,65,821","48,66,734","20,67,025"
20210329,"21,361","24,08,323","83,808","10,06,703","26,34,237","74,323","17,63,175","12,756","13,532","11,97,227","1,08,602","52,62,906","13,19,400","4,94,695","7,77,848","15,63,852","35,52,038","31,81,620","45,692","6,800","31,88,497","57,82,665","1,18,291","97,582","65,848","81,694","22,36,623","70,124","7,54,354","54,84,184","72,309","28,71,513","11,75,476","6,58,047","53,03,530","6,65,821","48,88,625","20,69,273"
20210330,"22,088","25,04,479","85,889","10,39,302","27,11,697","75,953","18,18,746","13,197","14,034","12,37,955","1,12,654","54,82,050","14,82,699","5,22,818","8,03,824","15,74,368","36,69,473","33,39,861","45,812","6,959","31,91,792","59,93,126","1,19,573","99,837","66,312","85,287","23,26,922","70,258","7,92,329","55,82,172","73,286","29,52,311","12,62,125","6,87,224","53,28,419","6,83,007","50,91,103","20,85,412"
20210331,"22,088","26,05,169","85,889","10,48,974","28,34,138","77,581","19,42,105","13,524","14,542","12,65,652","1,15,750","57,00,174","15,91,599","5,32,053","8,03,824","15,96,433","38,11,007","34,01,918","46,010","6,959","33,56,666","62,09,337","1,20,838","1,01,476","66,666","87,247","24,11,021","74,165","8,42,448","57,21,312","73,741","30,31,631","12,95,814","6,97,346","53,98,684","6,98,899","52,30,166","21,85,050"
20210401,"22,874","27,35,502","93,159","10,83,743","30,45,053","81,080","21,77,113","15,995","15,612","13,36,753","1,20,405","61,65,176","17,01,800","5,77,581","8,45,825","16,22,995","39,46,936","34,90,134","50,322","7,220","37,35,986","65,19,976","1,22,535","1,05,602","68,024","89,515","26,14,183","76,570","9,20,846","60,05,903","77,892","31,14,623","13,58,395","7,19,751","56,97,787","7,39,961","54,19,269","22,67,042"
20210402,"22,867","29,07,602","1,00,226","11,67,124","31,21,393","84,815","25,17,456","19,861","17,893","14,29,913","1,30,175","65,78,274","17,14,570","5,95,692","8,89,734","17,46,722","42,98,094","37,20,447","56,108","7,521","39,03,340","70,27,500","1,15,544","1,20,146","71,868","83,771","26,99,452","77,771","10,90,090","61,51,585","79,904","31,01,478","13,94,119","7,09,385","64,28,073","8,26,674","57,72,282","22,74,826"
20210403,"23,432","30,07,468","1,04,436","12,06,058","32,32,560","88,663","26,94,062","21,625","19,725","14,98,767","1,33,818","69,23,008","17,58,592","6,14,864","9,22,562","17,72,016","44,88,656","38,50,005","59,917","7,789","40,83,671","73,54,244","1,18,645","1,21,519","71,987","83,991","28,23,310","81,457","11,70,962","64,31,601","80,654","31,51,678","14,46,502","7,21,108","66,43,096","8,70,905","59,58,488","23,37,810"
20210404,"24,076","30,53,542","1,06,266","12,20,939","33,74,210","91,346","30,10,589","23,354","21,014","15,83,047","1,36,166","73,90,435","18,04,230","6,33,532","9,51,366","18,68,402","46,08,184","38,84,224","62,607","8,089","42,27,270","76,86,921","1,19,351","1,21,804","72,030","84,131","31,19,381","83,053","12,52,548","68,68,626","80,856","31,86,597","14,85,476","7,30,512","67,61,287","9,16,548","61,12,805","23,40,349"
20210405,"25,217","31,79,087","1,07,592","12,76,382","35,81,314","94,887","31,20,741","26,133","22,989","16,72,538","1,41,025","76,89,507","19,13,936","6,70,976","9,81,646","19,51,497","48,23,777","40,30,982","65,874","8,196","44,63,488","81,27,248","1,20,672","1,21,588","73,566","86,221","32,87,050","85,421","13,28,236","72,99,305","83,797","32,05,778","15,54,772","7,46,306","71,98,372","9,85,663","65,41,370","24,17,777"
20210406,"26,850","32,66,611","1,12,266","13,20,944","38,85,397","98,293","32,99,718","28,477","25,299","17,55,989","1,45,788","80,17,741","20,02,989","7,37,077","10,47,649","20,06,269","49,97,921","40,59,464","68,062","9,052","46,71,069","85,59,317","1,23,203","1,26,236","78,364","90,103","35,08,480","86,099","14,16,310","78,15,333","90,511","32,39,421","16,17,774","7,59,840","76,41,485","10,61,735","68,73,489","24,06,849"
20210407,"28,269","33,89,990","1,14,031","13,44,908","40,26,169","1,01,739","34,27,849","29,923","26,920","17,99,406","1,50,177","81,47,689","20,36,392","7,78,402","10,95,745","20,80,318","52,30,642","41,49,413","70,021","9,719","49,73,398","89,49,560","1,25,612","1,29,891","82,170","94,224","36,17,561","87,581","14,78,280","82,87,840","95,185","32,92,109","16,85,242","7,67,029","78,47,622","11,14,026","70,55,520","24,78,101"
20210408,"30,799","34,97,015","1,20,397","14,05,680","41,67,453","1,05,815","37,08,378","31,851","28,441","18,97,553","1,55,376","84,75,305","21,19,853","8,41,809","11,77,901","21,35,148","54,63,774","43,56,951","71,259","10,737","52,34,644","93,38,531","1,28,096","1,35,237","86,987","97,863","37,69,153","90,099","15,71,245","88,07,351","1,04,473","34,02,198","17,83,357","7,85,861","81,45,161","11,82,912","73,12,694","25,56,905"
20210409,"33,217","35,71,233","1,26,477","14,54,577","42,33,789","1,10,149","39,36,404","33,719","30,441","19,56,793","1,62,064","87,74,240","22,12,582","8,91,278","12,40,780","21,62,629","57,89,180","45,75,600","71,960","11,686","53,62,159","96,32,724","1,30,961","1,39,127","92,678","1,00,533","39,56,246","93,096","16,72,868","92,45,238","1,12,414","35,33,869","18,98,374","8,03,168","83,97,204","12,43,782","76,74,634","26,07,287"
20210410,"35,447","38,06,708","1,31,304","14,86,294","44,94,404","1,15,008","41,28,448","35,398","32,510","20,62,711","1,71,132","90,56,842","22,83,954","9,42,832","12,86,563","22,61,611","60,67,099","47,63,853","72,431","12,703","54,65,121","99,23,534","1,32,204","1,41,326","95,229","1,01,480","40,91,351","96,737","17,69,971","95,65,308","1,15,201","36,66,549","20,60,865","8,12,288","84,93,959","12,83,673","78,91,650","26,41,449"
20210411,"37,671","38,93,003","1,35,099","14,98,729","47,48,226","1,18,155","43,04,100","36,796","33,727","21,45,740","1,78,390","92,60,284","23,82,673","9,83,910","13,22,368","23,60,166","62,09,024","48,30,669","73,397","13,284","58,39,231","1,01,92,353","1,34,396","1,42,445","95,857","1,05,854","42,14,184","1,03,546","18,45,259","97,16,352","1,17,171","37,15,293","21,61,735","8,19,107","88,25,419","13,08,881","79,82,640","26,43,431"
20210412,"42,285","39,13,719","1,44,244","15,31,037","49,54,731","1,22,941","44,62,959","38,680","35,431","22,35,927","1,88,088","94,98,866","25,26,694","10,51,232","13,90,936","24,29,885","64,07,325","50,98,184","74,608","13,796","62,47,108","1,05,29,376","1,37,679","1,46,626","1,05,078","1,13,941","43,56,095","1,14,551","19,38,988","99,25,581","1,26,124","38,81,778","22,92,129","8,32,935","93,59,564","13,62,066","82,26,026","26,75,872"
20210413,"48,901","39,18,529","1,51,893","15,50,113","50,50,288","1,26,849","45,60,518","39,631","36,434","23,04,986","1,92,556","97,05,299","26,58,779","11,11,867","14,20,799","25,06,678","64,46,477","52,67,532","75,319","14,571","65,61,386","1,07,53,947","1,39,978","1,52,855","1,13,106","1,20,854","44,44,241","1,29,271","20,02,937","1,00,80,932","1,35,661","40,21,060","23,18,292","8,42,397","97,19,899","14,03,195","83,45,753","27,05,795"
20210414,"55,598","45,63,073","1,58,211","15,53,903","52,27,880","1,30,380","46,34,774","40,462","37,398","23,77,014","2,03,223","98,67,541","28,05,840","11,57,929","14,52,764","25,96,645","65,50,424","52,87,484","75,905","15,308","68,90,145","1,11,25,434","1,42,931","1,57,493","1,23,060","1,28,132","45,27,911","1,38,153","20,80,678","1,02,24,579","1,41,777","41,10,452","24,52,956","8,45,229","1,00,28,839","14,32,077","84,43,337","27,08,299"
20210415,"60,898","45,97,577","1,61,283","15,55,461","53,56,134","1,34,563","46,80,586","41,387","38,052","24,54,965","2,13,142","1,00,28,842","28,75,265","11,92,543","15,00,693","26,41,246","67,05,031","54,97,016","76,472","16,144","70,58,738","1,15,12,728","1,45,490","1,63,271","1,35,583","1,33,049","46,85,831","1,48,389","21,66,051","1,03,60,331","1,48,555","43,23,754","26,22,516","8,45,296","1,02,73,996","14,66,970","84,68,838","27,36,823"
20210416,"67,734","46,03,804","1,66,715","15,64,490","54,28,037","1,39,146","47,50,060","42,394","39,082","25,04,094","2,24,984","1,01,65,603","29,57,810","12,41,589","15,44,674","26,82,040","69,10,399","56,81,972","76,968","16,586","71,15,737","1,18,86,859","1,48,635","1,67,553","1,48,073","1,37,639","47,95,020","1,57,494","22,61,624","1,05,23,372","1,55,296","45,32,483","28,02,424","8,62,658","1,05,38,702","15,19,067","86,09,305","27,67,519"
20210417,"74,108","46,07,975","1,70,942","15,86,438","55,79,469","1,43,254","48,70,577","43,066","40,077","25,72,717","2,37,156","1,03,37,448","30,22,952","12,78,089","15,89,252","27,34,217","71,92,628","58,32,553","77,819","17,251","73,05,314","1,21,39,453","1,52,135","1,69,475","1,54,038","1,39,051","48,65,265","1,63,766","23,52,518","1,06,98,771","1,60,123","46,70,781","29,52,910","8,80,367","1,07,12,739","15,65,437","87,40,073","27,92,386"
20210418,"78,236","46,13,024","1,72,669","15,97,535","56,87,553","1,45,600","49,57,157","43,295","40,384","26,21,295","2,44,577","1,04,51,246","30,66,316","12,89,500","16,22,150","27,75,433","72,96,771","58,70,232","77,857","18,224","73,29,901","1,22,73,973","1,53,124","1,69,578","1,54,183","1,40,106","49,30,367","1,65,647","24,18,132","1,08,84,806","1,61,058","47,11,901","29,60,305","8,86,131","1,07,18,375","15,68,172","87,64,173","27,93,580"
20210419,"83,085","47,56,984","1,80,287","16,77,769","58,38,127","1,49,987","50,43,710","43,877","41,068","26,82,165","2,53,784","1,06,20,832","31,63,013","13,28,663","16,88,397","28,07,893","75,43,325","60,26,805","80,595","18,482","75,07,451","1,26,50,266","1,57,711","1,74,713","1,64,833","1,48,681","50,72,765","1,68,672","25,08,073","1,11,92,119","1,66,609","48,14,662","31,32,747","9,10,346","1,09,09,765","16,28,191","89,76,743","28,15,918"
20210420,"86,926","49,27,736","1,86,071","17,71,560","59,65,675","1,54,584","51,02,952","44,417","41,978","27,32,522","2,64,363","1,08,07,438","32,42,458","13,78,686","17,53,277","28,49,025","77,68,994","62,43,833","84,637","19,011","75,42,949","1,29,45,000","1,62,117","1,80,632","1,74,379","1,55,195","51,94,381","1,70,810","25,95,020","1,14,51,137","1,71,142","48,92,488","32,72,989","9,34,015","1,11,20,780","16,78,639","92,11,156","28,40,338"
20210421,"89,072","49,68,504","1,90,500","18,25,312","60,57,811","1,58,565","51,46,710","44,685","42,394","27,87,132","2,72,843","1,09,38,424","32,87,861","14,00,847","18,01,471","28,77,574","79,58,245","63,53,754","88,453","19,786","75,66,383","1,32,79,970","1,67,554","1,85,239","1,80,829","1,62,418","53,06,252","1,73,769","26,58,091","1,16,50,301","1,72,465","49,65,949","33,95,125","9,41,698","1,12,59,746","17,15,839","93,96,277","28,42,796"
