,dateymd,confirmed,recovered,deaths,Dose1,Dose2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,visit,staying,State_population
129,20210207,223,268,2,0.0,0.0,-9.24154714256172,18.103056667355986,-8.0,-4.344603809917707,-2.6553961900822927,2.586150952479427,-0.0390437898425785,0.1192204911001231,84580777
130,20210208,163,299,2,0.0,0.0,-17.827698095041146,24.103056667355986,-17.0,-5.0,-17.035433807849742,5.655396190082293,-0.0486757822299267,0.1065949726932633,84580777
131,20210209,219,301,1,0.0,0.0,-16.827698095041146,23.51690571487656,-16.0,-6.7584528574382805,-19.38003761776745,5.655396190082293,-0.066176821417117,0.1164524308907684,84580777
132,20210210,207,284,2,0.0,0.0,-18.24154714256172,27.447660477273693,-17.0,-5.7584528574382805,-14.62158476032917,5.2415471425617195,-0.1006301744643466,0.1133268075559296,84580777
133,20210211,233,197,0,0.0,0.0,-18.41384904752057,25.7922642871914,-18.0,-8.413849047520573,-14.276980950411463,7.2415471425617195,-0.1136123410377277,0.1173190547576785,84580777
134,20210212,211,258,2,0.0,0.0,-14.0,27.447660477273693,-14.0,0.5861509524794268,-15.035433807849744,5.655396190082293,-0.0695975705114413,0.11150817128081,84580777
135,20210213,205,256,0,0.0,0.0,-11.552339522726305,19.61996238223255,-7.0,-2.413849047520573,-18.75845285743828,4.0,-0.0208822302131369,0.1073182723353321,84580777
136,20210214,201,294,2,0.0,0.0,-3.3107923801645853,19.033811429753122,0.0,0.7584528574382805,-3.2415471425617195,1.4138490475205732,-0.0053831730961752,0.1136120446539525,84580777
137,20210215,129,238,3,0.0,0.0,-12.24154714256172,23.033811429753122,-11.0,-2.6553961900822927,-14.86313190289089,4.655396190082293,-0.0229226025062408,0.1025641855722134,84580777
138,20210216,189,301,1,0.0,0.0,-11.827698095041146,21.61996238223255,-11.0,-2.413849047520573,-16.863131902890892,4.655396190082293,-0.0325294085404299,0.1110930321215895,84580777
139,20210217,199,207,3,0.0,0.0,-14.655396190082293,24.033811429753122,-13.0,-3.7584528574382805,-14.793886665288024,5.2415471425617195,-0.0780916349147513,0.1114674414360132,84580777
140,20210218,230,155,3,0.0,0.0,-15.24154714256172,27.55071714462968,-14.0,-3.2415471425617195,-14.449282855370317,6.2415471425617195,-0.0738800896699021,0.1111629030158945,84580777
141,20210219,244,226,2,0.0,0.0,-19.655396190082293,19.206113334711976,-18.0,-4.586150952479427,-12.86313190289089,8.24154714256172,-0.0982711653845412,0.1176248845356433,84580777
142,20210220,211,227,0,0.0,0.0,-15.310792380164585,21.7922642871914,-12.0,-1.4138490475205732,-4.896943332644012,5.0,-0.0660301689178145,0.1119751279744095,84580777
143,20210221,251,218,1,0.0,0.0,-7.413849047520573,16.689207619835415,-7.0,-2.7584528574382805,-3.413849047520573,3.0,-0.0712920341742663,0.1247904538540713,84580777
144,20210222,155,214,1,0.0,0.0,-12.655396190082293,22.792264287191404,-11.0,-3.069245237602866,-12.86313190289089,5.655396190082293,-0.0513311569498823,0.107469413236296,84580777
145,20210223,70,84,1,0.0,0.0,-12.655396190082293,21.61996238223255,-11.0,-4.413849047520573,-13.276980950411463,5.655396190082293,-0.062694583737981,0.1158045459666325,84580777
146,20210224,439,363,4,0.008936392249033134,0.002684132353146862,-14.655396190082293,24.7922642871914,-13.0,-4.172301904958854,-10.86313190289089,5.2415471425617195,-0.0885983891162409,0.1153809131946139,84580777
147,20210225,289,173,1,0.009315544594725111,0.002892040114504978,-15.827698095041146,24.206113334711976,-15.0,-4.586150952479427,-12.449282855370317,6.2415471425617195,-0.090294166284261,0.1150759998808003,84580777
148,20210226,285,200,3,0.009687532191859622,0.0031846006806014564,-15.827698095041146,25.447660477273693,-15.0,-3.1723019049588537,-10.86313190289089,7.2415471425617195,-0.1000625087639003,0.1165443896627953,84580777
149,20210227,296,234,1,0.009687532191859622,0.0031846006806014564,-14.138490475205732,22.206113334711976,-10.0,-3.0,-5.310792380164585,4.413849047520573,-0.0504691032270843,0.1098211218739454,84580777
150,20210228,293,229,1,0.009687532191859622,0.0031846006806014564,-6.827698095041146,20.86150952479427,-6.0,-1.1723019049588537,1.1723019049588537,2.586150952479427,-0.0496623541184777,0.1207179327803999,84580777
151,20210301,174,216,0,0.00987762266596345,0.00322118109650376,-12.827698095041146,25.033811429753122,-12.0,-2.8276980950411463,-10.10467904545261,5.655396190082293,-0.0547297243055594,0.1063737435970823,84580777
152,20210302,269,214,1,0.010143167637251666,0.0032723274698694244,-12.827698095041146,25.619962382232547,-12.0,-4.0,-11.690829997932036,5.2415471425617195,-0.0720788857195057,0.1148798102679997,84580777
153,20210303,303,245,1,0.010558675761514936,0.0033145001730121256,-14.24154714256172,28.61996238223255,-13.0,-3.7584528574382805,-9.86313190289089,5.2415471425617195,-0.0919000134769393,0.1135388811976745,84580777
154,20210304,254,170,3,0.01104450719340164,0.0033907822814160243,-14.827698095041146,29.206113334711972,-14.0,-4.0,-11.276980950411463,6.2415471425617195,-0.0959452254847458,0.1142028032135481,84580777
155,20210305,290,243,3,0.0115134790024452,0.0035245360775061217,-15.586150952479427,25.51690571487656,-16.0,-8.033811429753122,-16.310792380164585,9.0,-0.1185457075790401,0.1198072481910399,84580777
156,20210306,285,289,2,0.012180911981927053,0.0037202070158329236,-13.724641427685158,26.37841523967083,-10.0,-2.0,-0.5523395227263048,4.413849047520573,-0.0538439215561947,0.1078997160178606,84580777
157,20210307,294,265,2,0.012180911981927053,0.0037202070158329236,-5.655396190082293,24.275358572314843,-4.0,-1.7584528574382805,0.9307547623971342,3.586150952479427,-0.0578080618654047,0.120755647075576,84580777
158,20210308,185,250,3,0.013008026634704479,0.004007920144786563,-11.24154714256172,26.447660477273693,-10.0,-3.0,-11.86313190289089,5.655396190082293,-0.056112704705704,0.1057034301480819,84580777
